gnis,place_name,state_code,source_url,status
2411956,"City of Spokane",WA,"https://www.codepublishing.com/WA/SpokaneValley/, http://www.spokanecity.org/",not_scraped
2411819,"City of Santa Clarita",CA,"https://www.codepublishing.com/CA/SantaClarita/, http://www.santa-clarita.com",not_scraped
2403821,"City of Baton Rouge",LA,https://www.brla.gov/,not_scraped
1789073,"City of Richmond",VA,"https://library.municode.com/va/richmond, http://www.rva.gov",incomplete_scrape
2404689,"City of Hialeah",FL,http://www.hialeahfl.gov,not_scraped
2411777,"City of San Bernardino",CA,"https://codelibrary.amlegal.com/codes/sanbernardinoca/latest/overview, http://www.ci.san-bernardino.ca.us/",not_scraped
2412025,"City of Tacoma",WA,http://www.cityoftacoma.org,not_scraped
2411130,"City of Modesto",CA,"https://library.municode.com/ca/modesto, http://www.modestogov.com/",incomplete_scrape
2404746,"City of Huntsville",AL,"https://library.municode.com/al/huntsville, https://www.huntsvilleal.gov/",incomplete_scrape
2394522,"City of Des Moines",IA,http://www.dmgov.org/,not_scraped
979660,"City of Yonkers",NY,"https://ecode360.com/YO0144, http://www.yonkersny.gov",not_scraped
979426,"City of Rochester",NY,http://www.cityofrochester.gov,not_scraped
2411159,"City of Moreno Valley",CA,"https://ecode360.com/MO4973, http://www.moval.org",not_scraped
2403604,"City of Fayetteville",NC,"https://library.municode.com/nc/fayetteville, http://www.ci.fayetteville.nc.us",not_scraped
2410517,"City of Fontana",CA,"https://library.municode.com/ca/fontana, http://www.fontana.org",not_scraped
2404111,"City of Columbus",GA,"https://library.municode.com/ga/columbus, https://www.columbusga.org",not_scraped
619493,"City of Worcester",MA,https://www.worcesterma.gov/,not_scraped
2404558,"City of Port Saint Lucie",FL,https://www.cityofpsl.com/,not_scraped
2404939,"City of Little Rock",AR,https://www.littlerock.gov/,not_scraped
310670,Augusta,GA,https://www.augustaga.gov,not_scraped
2411347,"City of Oxnard",CA,"https://codelibrary.amlegal.com/codes/oxnard/latest/overview, https://www.oxnard.org/",not_scraped
2403868,"City of Birmingham",AL,"https://library.municode.com/al/birmingham, https://www.birminghamal.gov/",incomplete_scrape
2404289,"City of Montgomery",AL,"https://library.municode.com/al/montgomery, http://www.montgomeryal.gov",incomplete_scrape
2410549,"City of Frisco",TX,"https://ecode360.com/FR6313, http://www.friscotexas.gov",not_scraped
2409694,"City of Amarillo",TX,"https://library.municode.com/tx/amarillo, https://www.amarillo.gov",scraped
2411771,"City of Salt Lake City",UT,"https://codelibrary.amlegal.com/codes/saltlakecityut/latest/overview, https://www.slc.gov",not_scraped
1626373,"City of Grand Rapids",MI,https://grandrapidsmi.gov,not_scraped
2410811,"City of Huntington Beach",CA,"https://ecode360.com/HU4937, http://www.huntingtonbeachca.gov",not_scraped
485639,"City of Overland Park",KS,https://www.opkansas.org,not_scraped
2410597,"City of Glendale",CA,"https://ecode360.com/GL4929, https://www.glendaleca.gov/",not_scraped
2405563,"City of Tallahassee",FL,"https://library.municode.com/fl/tallahassee, http://www.talgov.com/",not_scraped
2410632,"City of Grand Prairie",TX,"https://library.municode.com/tx/grand_prairie, http://www.gptx.org/",incomplete_scrape
2411064,"City of McKinney",TX,"https://library.municode.com/tx/mckinney, https://www.mckinneytexas.org/",incomplete_scrape
2403990,"City of Cape Coral",FL,"https://library.municode.com/fl/cape_coral, http://www.capecoral.net",scraped
1267566,"City of Sioux Falls",SD,"https://codelibrary.amlegal.com/codes/siouxfalls/latest/overview, https://www.siouxfalls.gov",not_scraped
2411401,"City of Peoria",AZ,"https://codelibrary.amlegal.com/codes/peoriaaz/latest/overview, http://www.peoriaaz.gov",not_scraped
1220076,"City of Providence",RI,https://www.providenceri.gov/,not_scraped
2412146,"City of Vancouver",WA,"https://vancouver.municipal.codes/, https://www.cityofvancouver.us/",not_scraped
2404842,"City of Knoxville",TN,"https://library.municode.com/tn/knoxville, https://www.knoxvilletn.gov/",incomplete_scrape
1086993,"City of Akron",OH,https://www.akronohio.gov/cms/city_of_akron/index.,not_scraped
